src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate,scheduled_dept_converted,actual_dept_converted,scheduled_arrival_converted,actual_arrival_converted
wunderground,2011-12-16-UA-3925-IAD-ORF,2011-12-16 08:42AM EST,2011-12-16 09:01AM EST, A2G ,2011-12-16 09:20AM EST,2011-12-16 09:39AM EST,,2011-12-16 08:42:00,2011-12-16 09:01:00,2011-12-16 09:20:00,2011-12-16 09:39:00
helloflight,2011-12-07-AA-1664-MIA-ATL,,12/7/11 10:27 AM (-05:00),,,12/7/11 11:55 AM (-05:00),,,2011-12-07 10:27:00,,2011-12-07 11:55:00
mco,2011-12-11-AA-204-LAX-MCO,,,,2011-12-11 Sun  06:55,2011-12-11 Sun  06:28,14?,,,2011-12-11 06:55:00,2011-12-11 06:28:00
gofox,2011-12-31-AA-2268-PHX-ORD,7:15 AM- Dec 31,7:19 AM- Dec 31,,11:35 AM- Dec 31,11:05 AM- Dec 31,,2000-12-31 07:15:00,2000-12-31 07:19:00,2000-12-31 11:35:00,2000-12-31 11:05:00
flytecomm,2011-12-07-AA-222-LAX-BOS,,12/7/11 7:23 AM (-08:00),,,12/7/11 3:13 PM (-05:00),,,2011-12-07 07:23:00,,2011-12-07 15:13:00
flightview,2011-12-13-UA-664-ORD-PHL,1:27 PM- Dec 13,1:49 PM- Dec 13,C24,4:25 PM- Dec 13,4:23 PM- Dec 13,D9,2000-12-13 13:27:00,2000-12-13 13:49:00,2000-12-13 16:25:00,2000-12-13 16:23:00
businesstravellogue,2011-12-01-UA-257-JFK-SFO,02:30 PM  Thu 01-Dec-2011,02:26 PM  Thu 01-Dec-2011,9,06:15 PM  Thu 01-Dec-2011,05:42 PM  Thu 01-Dec-2011,80,2011-12-01 14:30:00,2011-12-01 14:26:00,2011-12-01 06:15:00,2011-12-01 05:42:00
orbitz,2011-12-27-AA-3756-ORD-SLC,12:15pDec 27,12:08pDec 27, G19,2:45pDec 27,2:27pDec 27, A1,2000-12-27 12:15:00,2000-12-27 12:08:00,2000-12-27 14:45:00,2000-12-27 14:27:00
myrateplan,2011-12-12-AA-1279-DFW-PHX,,12/12/11 1:16 PM (-06:00),,,12/12/11 2:28 PM (-07:00),,,2011-12-12 13:16:00,,2011-12-12 14:28:00
world-flight-tracker,2011-12-09-AA-85-JFK-SFO,2011-12-09 3:05 PM,2011-12-09 3:13 PM,,2011-12-09 6:30 PM,2011-12-09 6:25 PM,,2011-12-09 03:05:00,2011-12-09 03:13:00,2011-12-09 18:30:00,2011-12-09 18:25:00
wunderground,2011-12-20-AA-4198-ORD-CLE,2011-12-20 10:40AM CST,2011-12-20 10:51AM CST, G2A ,2011-12-20 12:46PM EST,2011-12-20 12:40PM EST, A1 ,2011-12-20 10:40:00,2011-12-20 10:51:00,2011-12-20 12:46:00,2011-12-20 12:40:00
quicktrip,2012-01-03-AA-1917-JFK-MCO,2012-01-03 2:55 PM,2012-01-03 4:06 PM,,2012-01-03 5:55 PM,2012-01-03 6:58 PM,,2012-01-03 14:55:00,2012-01-03 16:06:00,2012-01-03 17:55:00,2012-01-03 18:58:00
ord,2011-12-27-AA-789-ORD-DEN,2011-12-27 1:05 PM,,H11A,2011-12-27 2:35 PM,,A49,2011-12-27 13:05:00,,2011-12-27 14:35:00,
weather,2011-12-09-UA-233-LAX-JFK,2011-12-09 04:25 PM,2011-12-09 04:51 PM,,2011-12-09 12:29 AM,2011-12-09 12:33 AM,,2011-12-09 04:25:00,2011-12-09 04:51:00,2011-12-09 00:29:00,2011-12-09 00:33:00
flightview,2011-12-30-AA-59-JFK-SFO,7:10 AM- Dec 30,7:37 AM- Dec 30,Terminal 8 - 42,10:45 AM- Dec 30,10:43 AM- Dec 30,Terminal 2 - 57,2000-12-30 07:10:00,2000-12-30 07:37:00,2000-12-30 10:45:00,2000-12-30 10:43:00
ua,2011-12-05-UA-3050-PHX-CLT,Mon- Dec 5 11:05 AM,Mon- Dec 5 11:21 AM,A11,Mon- Dec 5 4:57 PM,Mon- Dec 5 5:07 PM,B5,2000-12-05 11:05:00,2000-12-05 11:21:00,2000-12-05 16:57:00,2000-12-05 17:07:00
world-flight-tracker,2012-01-02-UA-2830-MCO-CLT,2012-01-02 3:27 PM,2012-01-02 3:55 PM,,2012-01-02 5:05 PM,2012-01-02 5:27 PM,,2012-01-02 03:27:00,2012-01-02 03:55:00,2012-01-02 17:05:00,2012-01-02 17:27:00
helloflight,2012-01-03-AA-4344-ORD-DTW,,1/3/12 11:52 AM (-06:00),,,1/3/12 1:34 PM (-05:00),,,2012-01-03 11:52:00,,2012-01-03 13:34:00
flightview,2011-12-28-AA-3-JFK-LAX,12:00 PM- Dec 28,12:11 PM- Dec 28,Terminal 8 - 44,3:15 PM- Dec 28,2:34 PM- Dec 28,Terminal 4 - 46A,2000-12-28 12:00:00,2000-12-28 12:11:00,2000-12-28 15:15:00,2000-12-28 14:34:00
gofox,2012-01-01-AA-1733-ORD-PHX,7:45 PM- Jan 01,,,10:30 PM- Jan 01,,,2000-01-01 19:45:00,,2000-01-01 22:30:00,
panynj,2012-01-01-AA-2268-PHX-ORD,7:15 AM- Jan 01,7:27 AM- Jan 01,Terminal 3,11:35 AM- Jan 01,11:32 AM- Jan 01,H6,2000-01-01 07:15:00,2000-01-01 07:27:00,2000-01-01 11:35:00,2000-01-01 11:32:00
boston,2011-12-04-AA-415-BOS-ORD,,8:46 AMDec 04,,,10:23 AMDec 04,,,2000-12-04 08:46:00,,2000-12-04 10:23:00
flightarrival,2012-01-02-AA-2268-PHX-ORD,2012-01-02 07:15 AM,2012-01-02 07:21 AM,,2012-01-02 11:35 AM,2012-01-02 11:36 AM,,2012-01-02 07:15:00,2012-01-02 07:21:00,2012-01-02 11:35:00,2012-01-02 11:36:00
foxbusiness,2012-01-02-AA-3756-ORD-SLC,12:15 PM- Jan 02,12:32 PM- Jan 02,G13,2:45 PM- Jan 02,2:26 PM- Jan 02,A3,2000-01-02 12:15:00,2000-01-02 12:32:00,2000-01-02 14:45:00,2000-01-02 14:26:00
mytripandmore,2011-12-24-AA-789-ORD-DEN,1:05pDec 24,1:05pDec 24, H11B,2:35pDec 24,2:29pDec 24, A49,2000-12-24 13:05:00,2000-12-24 13:05:00,2000-12-24 14:35:00,2000-12-24 14:29:00
allegiantair,2011-12-19-AA-3823-LAX-DEN,9:00 PM- Dec 19,,Terminal 4 - 44E,12:15 AM- Dec 20,,A49,2000-12-19 21:00:00,,2000-12-20 00:15:00,
businesstravellogue,2011-12-13-UA-3050-PHX-CLT,11:05 AM  Tue 13-Dec-2011,11:07 AM  Tue 13-Dec-2011,A21,04:57 PM  Tue 13-Dec-2011,04:49 PM  Tue 13-Dec-2011,B5,2011-12-13 11:05:00,2011-12-13 11:07:00,2011-12-13 16:57:00,2011-12-13 16:49:00
panynj,2011-12-30-UA-248-PHX-ORD,1:05 PMDec 30,,,5:28 PMDec 30,,,2000-12-30 13:05:00,,2000-12-30 17:28:00,
aa,2011-12-01-AA-3804-PHL-ORD,12/01/2011 02:35 PM,12/01/2011 02:44 PM,A7,12/01/2011 04:05 PM,12/01/2011 03:43 PM,H3A,2011-12-01 14:35:00,2011-12-01 14:44:00,2011-12-01 16:05:00,2011-12-01 03:43:00
flytecomm,2011-12-25-AA-2525-DFW-MIA,,12/25/11 7:43 AM (-06:00),,,12/25/11 11:00 AM (-05:00),,,2011-12-25 07:43:00,,2011-12-25 11:00:00
weather,2011-12-04-AA-4344-ORD-DTW,2011-12-04 11:45 AM,,,2011-12-04 02:00 PM,,,2011-12-04 11:45:00,,2011-12-04 14:00:00,
panynj,2012-01-02-AA-484-DFW-MIA,4:15 PM- Jan 02,4:26 PM- Jan 02,D21,7:55 PM- Jan 02,7:46 PM- Jan 02,Terminal D - D50,2000-01-02 16:15:00,2000-01-02 16:26:00,2000-01-02 19:55:00,2000-01-02 19:46:00
flightaware,2012-01-03-AA-518-MIA-JFK,2012-01-03 06:30AM EST,2012-01-03 07:28AM EST, D1 ,2012-01-03 08:59AM EST,2012-01-03 09:37AM EST, 46 ,2012-01-03 06:30:00,2012-01-03 07:28:00,2012-01-03 08:59:00,2012-01-03 09:37:00
airtravelcenter,2012-01-01-AA-1733-ORD-PHX,,1/1/12 8:02 PM (-06:00),,,1/1/12 10:25 PM (-07:00),,,2012-01-01 20:02:00,,2012-01-01 22:25:00
boston,2011-12-14-UA-3373-IAD-PHL,,8:45 AMDec 14,,,9:18 AMDec 14,,,2000-12-14 08:45:00,,2000-12-14 09:18:00
gofox,2012-01-02-AA-2312-DFW-DTW,8:25 PMJan 02,,,11:50 PMJan 02,,,2000-01-02 20:25:00,,2000-01-02 23:50:00,
panynj,2011-12-31-UA-6273-YYC-SFO,,8:09 AMDec 31,,,9:35 AMDec 31,,,2000-12-31 08:09:00,,2000-12-31 09:35:00
flights,2011-12-14-UA-3515-IAD-MSP,,2011-12-14 08:17 AM,D20,,2011-12-14 10:15 AM,E8,,2011-12-14 08:17:00,,2011-12-14 10:15:00
flytecomm,2011-12-28-AA-446-DFW-PHL,,12/28/11 12:01 PM (-06:00),,,12/28/11 3:39 PM (-05:00),,,2011-12-28 12:01:00,,2011-12-28 15:39:00
foxbusiness,2011-12-05-UA-1500-IAH-GUA,,9:40 AMDec 05,,,12:27 PMDec 05,,,2000-12-05 09:40:00,,2000-12-05 12:27:00
flightarrival,2011-12-08-AA-1522-SFO-ORD,2011-12-08 11:55 PM,2011-12-08 12:05 AM,,2011-12-08 05:50 AM,2011-12-08 05:34 AM,,2011-12-08 23:55:00,2011-12-08 00:05:00,2011-12-08 05:50:00,2011-12-08 05:34:00
boston,2011-12-16-AA-3979-CVG-ORD,7:30 AM- Dec 16,8:08 AM- Dec 16,,8:00 AM- Dec 16,7:56 AM- Dec 16,,2000-12-16 07:30:00,2000-12-16 08:08:00,2000-12-16 08:00:00,2000-12-16 07:56:00
helloflight,2011-12-13-UA-2945-PHL-CLT,,12/13/11 12:22 PM (-05:00),,,12/13/11 1:32 PM (-05:00),,,2011-12-13 12:22:00,,2011-12-13 13:32:00
flightaware,2011-12-24-UA-3099-PHX-PHL,2011-12-24 11:55AM MST,2011-12-24 11:59AM MST,,2011-12-24 05:48PM EST,2011-12-24 05:38PM EST,,2011-12-24 11:55:00,2011-12-24 11:59:00,2011-12-24 05:48:00,2011-12-24 17:38:00
weather,2011-12-25-UA-2314-ATL-PHL,2011-12-25 02:55 PM,,,2011-12-25 05:00 PM,,,2011-12-25 14:55:00,,2011-12-25 17:00:00,
weather,2011-12-11-AA-4307-ORD-DTW,2011-12-11 06:45 PM,,,2011-12-11 09:10 PM,,,2011-12-11 06:45:00,,2011-12-11 09:10:00,
helloflight,2011-12-02-AA-415-BOS-ORD,,12/2/11 8:45 AM (-05:00),,,12/2/11 10:08 AM (-06:00),,,2011-12-02 08:45:00,,2011-12-02 10:08:00
panynj,2011-12-18-UA-843-LAX-ORD,,2:17 PMDec 18,,,8:02 PMDec 18,,,2000-12-18 14:17:00,,2000-12-18 20:02:00
flightwise,2011-12-16-AA-649-ORD-SNA,2011-12-16 01:30PM CST,2011-12-16 01:40PM CST, H14 ,2011-12-16 03:30PM PST,2011-12-16 03:40PM PST, 7 ,2011-12-16 13:30:00,2011-12-16 13:40:00,2011-12-16 03:30:00,2011-12-16 03:40:00
businesstravellogue,2011-12-10-UA-37-EWR-MCO,,2011-12-10 02:01 PM,82,,2011-12-10 04:55 PM,39,,2011-12-10 14:01:00,,2011-12-10 16:55:00
flightexplorer,2011-12-13-AA-3804-PHL-ORD,,12/13/2011 2:42PM EST,,,12/13/2011 3:39PM CST,,,2011-12-13 14:42:00,,2011-12-13 15:39:00
flytecomm,2011-12-28-AA-4198-ORD-CLE,,12/28/11 10:54 AM (-06:00),,,12/28/11 12:37 PM (-05:00),,,2011-12-28 10:54:00,,2011-12-28 12:37:00
helloflight,2011-12-27-UA-382-IAD-LAX,,12/27/11 12:33 PM (-05:00),,,12/27/11 2:30 PM (-08:00),,,2011-12-27 12:33:00,,2011-12-27 14:30:00
airtravelcenter,2011-12-25-AA-4330-CVG-ORD,12/25/11 3:35 PM (-05:00),,,12/25/11 4:00 PM (-06:00),,,2011-12-25 15:35:00,,2011-12-25 16:00:00,
mia,2011-12-01-AA-2050-ORD-MIA,,,,2:45P 12-01-11,2011-12-01  2:46P,,,,2011-12-01 14:45:00,2011-12-01 02:46:00
orbitz,2011-12-17-AA-4307-ORD-DTW,8:05pDec 17,8:26pDec 17, G3,10:20pDec 17,10:35pDec 17, D19,2000-12-17 20:05:00,2000-12-17 20:26:00,2000-12-17 22:20:00,2000-12-17 22:35:00
gofox,2011-12-07-AA-400-DFW-JFK,10:40 AM- Dec 07,10:53 AM- Dec 07,,2:59 PM- Dec 07,2:50 PM- Dec 07,,2000-12-07 10:40:00,2000-12-07 10:53:00,2000-12-07 14:59:00,2000-12-07 14:50:00
businesstravellogue,2011-12-01-AA-400-DFW-JFK,,2011-12-01 11:01 AM,D18,,2011-12-01 03:04 PM,C33,,2011-12-01 11:01:00,,2011-12-01 03:04:00
airtravelcenter,2011-12-04-UA-2830-MCO-CLT,,12/4/11 3:40 PM (-05:00),,,12/4/11 4:55 PM (-05:00),,,2011-12-04 15:40:00,,2011-12-04 16:55:00
ifly,2011-12-07-AA-643-MIA-ORD,2011-12-07 7:10 AM,2011-12-07 7:23 AM,,2011-12-07 9:35 AM,2011-12-07 9:03 AM,,2011-12-07 07:10:00,2011-12-07 07:23:00,2011-12-07 09:35:00,2011-12-07 09:03:00
flightexplorer,2011-12-11-UA-664-ORD-PHL,,12/11/2011 1:35PM CST,,,12/11/2011 4:11PM EST,,,2011-12-11 13:35:00,,2011-12-11 16:11:00
helloflight,2011-12-28-AA-404-MIA-MCO,,12/28/11 6:57 AM (-05:00),,,12/28/11 7:41 AM (-05:00),,,2011-12-28 06:57:00,,2011-12-28 07:41:00
wunderground,2011-12-30-AA-3468-CVG-MIA,2011-12-30 07:00AM EST,2011-12-30 07:19AM EST, 1 ,2011-12-30 09:43AM EST,2011-12-30 09:13AM EST, D60J ,2011-12-30 07:00:00,2011-12-30 07:19:00,2011-12-30 09:43:00,2011-12-30 09:13:00
flightstats,2011-12-28-UA-2906-PHL-MCO,2011-12-28 3:50 PM,2011-12-28 3:48 PM,,2011-12-28 6:23 PM,2011-12-28 6:16 PM,,2011-12-28 15:50:00,2011-12-28 03:48:00,2011-12-28 18:23:00,2011-12-28 18:16:00
myrateplan,2011-12-08-AA-2268-PHX-ORD,,12/8/11 7:21 AM (-07:00),,,12/8/11 11:11 AM (-06:00),,,2011-12-08 07:21:00,,2011-12-08 11:11:00
helloflight,2011-12-31-UA-414-LAX-SFO,,12/31/11 6:18 AM (-08:00),,,12/31/11 7:06 AM (-08:00),,,2011-12-31 06:18:00,,2011-12-31 07:06:00
allegiantair,2011-12-27-UA-37-EWR-MCO,,3:28 PMDec 27,,,5:56 PMDec 27,,,2000-12-27 15:28:00,,2000-12-27 17:56:00
flytecomm,2011-12-28-AA-2312-DFW-DTW,,12/28/11 8:29 PM (-06:00),,,12/28/11 11:39 PM (-05:00),,,2011-12-28 20:29:00,,2011-12-28 23:39:00
panynj,2011-12-28-AA-3842-MSP-ORD,6:00 AM- Dec 28,6:19 AM- Dec 28,E14,7:30 AM- Dec 28,7:12 AM- Dec 28,H5,2000-12-28 06:00:00,2000-12-28 06:19:00,2000-12-28 07:30:00,2000-12-28 07:12:00
panynj,2011-12-11-UA-3099-PHX-PHL,11:55 AM- Dec 11,12:17 PM- Dec 11,Terminal 4,6:17 PM- Dec 11,6:17 PM- Dec 11,A16,2000-12-11 11:55:00,2000-12-11 12:17:00,2000-12-11 18:17:00,2000-12-11 18:17:00
flytecomm,2011-12-02-AA-271-MIA-LAX,,12/2/11 11:52 AM (-05:00),,,12/2/11 2:04 PM (-08:00),,,2011-12-02 11:52:00,,2011-12-02 14:04:00
flightview,2012-01-03-AA-3-JFK-LAX,12:00 PM- Jan 03,12:12 PM- Jan 03,Terminal 8 - 6,3:15 PM- Jan 03,2:52 PM- Jan 03,Terminal 4 - 49A,2000-01-03 12:00:00,2000-01-03 12:12:00,2000-01-03 15:15:00,2000-01-03 14:52:00
flightstats,2011-12-12-AA-4198-ORD-CLE,2011-12-12 10:40 AM,2011-12-12 10:34 AM,,2011-12-12 12:55 PM,2011-12-12 12:46 PM,,2011-12-12 10:40:00,2011-12-12 10:34:00,2011-12-12 12:55:00,2011-12-12 12:46:00
myrateplan,2011-12-29-AA-4198-ORD-CLE,,12/29/11 10:57 AM (-06:00),,,12/29/11 12:41 PM (-05:00),,,2011-12-29 10:57:00,,2011-12-29 12:41:00
ua,2011-12-20-UA-397-JFK-SFO,Tue- Dec 20 8:25 AM,Tue- Dec 20 8:22 AM,7,Tue- Dec 20 12:14 PM,Tue- Dec 20 11:11 AM,80,2000-12-20 08:25:00,2000-12-20 08:22:00,2000-12-20 12:14:00,2000-12-20 11:11:00
boston,2011-12-02-AA-3859-IAH-ORD,7:10 AM- Dec 02,7:14 AM- Dec 02,,9:40 AM- Dec 02,9:20 AM- Dec 02,,2000-12-02 07:10:00,2000-12-02 07:14:00,2000-12-02 09:40:00,2000-12-02 09:20:00
allegiantair,2011-12-17-AA-1165-JFK-MIA,6:59 AM- Dec 17,7:27 AM- Dec 17,Terminal 8 - 37,10:34 AM- Dec 17,10:10 AM- Dec 17,Terminal D - D1,2000-12-17 06:59:00,2000-12-17 07:27:00,2000-12-17 10:34:00,2000-12-17 10:10:00
flylouisville,2011-12-29-UA-1500-IAH-GUA,,2011-12-29 08:53 AM,22,,2011-12-29 11:43 AM,HOLD,,2011-12-29 08:53:00,,2011-12-29 11:43:00
flightstats,2011-12-31-AA-271-MIA-LAX,2011-12-31 11:35 AM,2011-12-31 11:48 AM,,2011-12-31 2:25 PM,2011-12-31 2:22 PM,,2011-12-31 11:35:00,2011-12-31 11:48:00,2011-12-31 14:25:00,2011-12-31 14:22:00
ifly,2011-12-13-AA-271-MIA-LAX,2011-12-13 11:35 AM,2011-12-13 11:50 AM,,2011-12-13 2:25 PM,2011-12-13 2:16 PM,,2011-12-13 11:35:00,2011-12-13 11:50:00,2011-12-13 14:25:00,2011-12-13 14:16:00
panynj,2012-01-01-AA-4330-CVG-ORD,,3:41 PMJan 01,,,3:36 PMJan 01,,,2000-01-01 15:41:00,,2000-01-01 15:36:00
businesstravellogue,2011-12-02-AA-4277-CVG-JFK,12:10 PM  Fri 02-Dec-2011,12:22 PM  Fri 02-Dec-2011,1,02:15 PM  Fri 02-Dec-2011,01:52 PM  Fri 02-Dec-2011,C31A,2011-12-02 12:10:00,2011-12-02 12:22:00,2011-12-02 14:15:00,2011-12-02 13:52:00
boston,2011-12-14-AA-204-LAX-MCO,11:25 PM- Dec 14,Not Available,,6:55 AM- Dec 15,Not Available,,2000-12-14 23:25:00,2000-01-01 00:00:00,2000-12-15 06:55:00,2000-01-01 00:00:00
ua,2012-01-02-UA-843-LAX-ORD,Mon- Jan 2 2:10 PM,Mon- Jan 2 3:07 PM,73,Mon- Jan 2 8:12 PM,Mon- Jan 2 9:08 PM,C25,2000-01-02 14:10:00,2000-01-02 15:07:00,2000-01-02 20:12:00,2000-01-02 21:08:00
aa,2011-12-22-AA-643-MIA-ORD,December 22- 2011               07:10 AM    ,December 22- 2011               07:02 AM    , D16,December 22- 2011               09:35 AM    ,December 22- 2011               08:58 AM    , H15    ,2011-12-22 07:10:00,2011-12-22 07:02:00,2011-12-22 09:35:00,2011-12-22 08:58:00
helloflight,2011-12-18-UA-2314-ATL-PHL,,12/18/11 3:17 PM (-05:00),,,12/18/11 4:59 PM (-05:00),,,2011-12-18 15:17:00,,2011-12-18 16:59:00
aa,2011-12-10-AA-3468-CVG-MIA,December 10- 2011               07:00 AM    ,December 10- 2011               07:01 AM    , 3,December 10- 2011               09:55 AM    ,December 10- 2011               09:55 AM    , D60D    ,2011-12-10 07:00:00,2011-12-10 07:01:00,2011-12-10 09:55:00,2011-12-10 09:55:00
quicktrip,2011-12-08-AA-3063-SLC-LAX,2011-12-08 8:20 PM,2011-12-08 8:10 PM,,2011-12-08 9:20 PM,2011-12-08 9:03 PM,,2011-12-08 20:20:00,2011-12-08 20:10:00,2011-12-08 21:20:00,2011-12-08 21:03:00
flytecomm,2011-12-29-AA-4198-ORD-CLE,,12/29/11 10:57 AM (-06:00),,,12/29/11 12:41 PM (-05:00),,,2011-12-29 10:57:00,,2011-12-29 12:41:00
weather,2012-01-01-AA-3859-IAH-ORD,2012-01-01 07:10 AM,,,2012-01-01 09:40 AM,,,2012-01-01 07:10:00,,2012-01-01 09:40:00,
quicktrip,2011-12-05-AA-2268-PHX-ORD,2011-12-05 7:15 AM,2011-12-05 7:20 AM,,2011-12-05 11:35 AM,2011-12-05 11:12 AM,,2011-12-05 07:15:00,2011-12-05 07:20:00,2011-12-05 11:35:00,2011-12-05 11:12:00
panynj,2011-12-09-AA-518-MIA-JFK,6:30 AM- Dec 09,6:56 AM- Dec 09,Terminal D - D22,9:15 AM- Dec 09,9:14 AM- Dec 09,Terminal 8 - 8,2000-12-09 06:30:00,2000-12-09 06:56:00,2000-12-09 09:15:00,2000-12-09 09:14:00
allegiantair,2011-12-13-AA-59-JFK-SFO,7:10 AM- Dec 13,7:38 AM- Dec 13,Terminal 8 - 40,10:45 AM- Dec 13,10:52 AM- Dec 13,Terminal 2 - 58B,2000-12-13 07:10:00,2000-12-13 07:38:00,2000-12-13 10:45:00,2000-12-13 10:52:00
helloflight,2011-12-08-AA-3063-SLC-LAX,,12/8/11 8:31 PM (-07:00),,,12/8/11 8:59 PM (-08:00),,,2011-12-08 20:31:00,,2011-12-08 20:59:00
flightview,2011-12-12-AA-3063-SLC-LAX,,8:37 PMDec 12,,,9:17 PMDec 12,,,2000-12-12 20:37:00,,2000-12-12 21:17:00
weather,2012-01-03-UA-858-PVG-SFO,2012-01-03 01:45 PM,,,2012-01-03 08:35 AM,,,2012-01-03 13:45:00,,2012-01-03 08:35:00,
boston,2011-12-26-AA-404-MIA-MCO,6:45 AM- Dec 26,7:02 AM- Dec 26,,7:45 AM- Dec 26,7:38 AM- Dec 26,,2000-12-26 06:45:00,2000-12-26 07:02:00,2000-12-26 07:45:00,2000-12-26 07:38:00
flightview,2011-12-25-AA-446-DFW-PHL,11:50 AM- Dec 25,12:00 PM- Dec 25,D18,3:50 PM- Dec 25,3:26 PM- Dec 25,A9,2000-12-25 11:50:00,2000-12-25 12:00:00,2000-12-25 15:50:00,2000-12-25 15:26:00
airtravelcenter,2011-12-17-AA-1886-BOS-MIA,,12/17/11 10:58 AM (-05:00),,,12/17/11 2:06 PM (-05:00),,,2011-12-17 10:58:00,,2011-12-17 14:06:00
flytecomm,2011-12-28-UA-2704-DTW-PHX,,12/28/11 11:26 AM (-05:00),,,12/28/11 12:58 PM (-07:00),,,2011-12-28 11:26:00,,2011-12-28 12:58:00
businesstravellogue,2011-12-05-AA-222-LAX-BOS,07:10 AM  Mon 05-Dec-2011,07:13 AM  Mon 05-Dec-2011,42B,03:30 PM  Mon 05-Dec-2011,02:55 PM  Mon 05-Dec-2011,B31,2011-12-05 07:10:00,2011-12-05 07:13:00,2011-12-05 15:30:00,2011-12-05 14:55:00
panynj,2011-12-11-UA-382-IAD-LAX,,1:15 PMDec 11,,,3:33 PMDec 11,,,2000-12-11 13:15:00,,2000-12-11 15:33:00
wunderground,2011-12-30-AA-271-MIA-LAX,2011-12-30 11:35AM EST,2011-12-30 12:40PM EST, D20 ,2011-12-30 02:15PM PST,2011-12-30 02:40PM PST, 46B ,2011-12-30 11:35:00,2011-12-30 12:40:00,2011-12-30 14:15:00,2011-12-30 14:40:00
flytecomm,2011-12-27-UA-938-DEN-ORD,,12/27/11 4:06 PM (-07:00),,,12/27/11 6:57 PM (-06:00),,,2011-12-27 16:06:00,,2011-12-27 18:57:00
panynj,2011-12-07-UA-1500-IAH-GUA,10:15 AMDec 07,,,12:48 PMDec 07,,,2000-12-07 10:15:00,,2000-12-07 12:48:00,
flights,2011-12-07-UA-3373-IAD-PHL,,2011-12-07 09:06 AM,C26,,2011-12-07 10:01 AM,D7,,2011-12-07 09:06:00,,2011-12-07 10:01:00
flightarrival,2011-12-29-AA-400-DFW-JFK,2011-12-29 10:40 AM,2011-12-29 12:32 PM,,2011-12-29 2:59 PM,2011-12-29 4:52 PM,,2011-12-29 10:40:00,2011-12-29 12:32:00,2011-12-29 14:59:00,2011-12-29 16:52:00
flights,2012-01-03-UA-3925-IAD-ORF,,2012-01-03 08:42 AM,A2,,2012-01-03 09:40 AM,,,2012-01-03 08:42:00,,2012-01-03 09:40:00
mytripandmore,2011-12-31-AA-4277-CVG-JFK,12:10pDec 31,12:08pDec 31, 1,2:15pDec 31,1:58pDec 31, 32I,2000-12-31 12:10:00,2000-12-31 12:08:00,2000-12-31 14:15:00,2000-12-31 13:58:00
gofox,2011-12-28-AA-204-LAX-MCO,11:25 PM- Dec 28,,,6:55 AM- Dec 29,,,2000-12-28 23:25:00,,2000-12-29 06:55:00,
quicktrip,2011-12-20-UA-2945-PHL-CLT,2011-12-20 12:00 PM,2011-12-20 11:57 AM,,2011-12-20 1:45 PM,2011-12-20 1:42 PM,,2011-12-20 12:00:00,2011-12-20 11:57:00,2011-12-20 13:45:00,2011-12-20 13:42:00
airtravelcenter,2011-12-17-AA-3804-PHL-ORD,,12/17/11 4:08 PM (-05:00),,,12/17/11 4:53 PM (-06:00),,,2011-12-17 16:08:00,,2011-12-17 16:53:00
flightaware,2012-01-03-AA-446-DFW-PHL,2012-01-03 11:50AM CST,2012-01-03 11:57AM CST, A24 ,2012-01-03 03:51PM EST,2012-01-03 03:49PM EST, A9 ,2012-01-03 11:50:00,2012-01-03 11:57:00,2012-01-03 15:51:00,2012-01-03 15:49:00
wunderground,2012-01-02-AA-85-JFK-SFO,2012-01-02 03:05PM EST,2012-01-02 03:25PM EST, 6 ,2012-01-02 06:10PM PST,2012-01-02 06:00PM PST, 58B ,2012-01-02 03:05:00,2012-01-02 03:25:00,2012-01-02 18:10:00,2012-01-02 18:00:00
orbitz,2011-12-14-AA-1917-JFK-MCO,2:55pDec 14,3:02pDec 14, 3,5:55pDec 14,5:37pDec 14, 16,2000-12-14 14:55:00,2000-12-14 15:02:00,2000-12-14 17:55:00,2000-12-14 17:37:00
weather,2011-12-28-AA-484-DFW-MIA,2011-12-28 04:15 PM,,,2011-12-28 07:55 PM,,,2011-12-28 04:15:00,,2011-12-28 19:55:00,
aa,2011-12-08-AA-1279-DFW-PHX,December 8- 2011               01:00 PM    ,December 8- 2011               12:57 PM    , A37,December 8- 2011               02:35 PM    ,December 8- 2011               02:33 PM    , 4    ,2011-12-08 13:00:00,2011-12-08 12:57:00,2011-12-08 14:35:00,2011-12-08 14:33:00
foxbusiness,2011-12-20-UA-2708-EWR-CLT,,3:18 PMDec 20,,,4:44 PMDec 20,,,2000-12-20 15:18:00,,2000-12-20 16:44:00
flytecomm,2011-12-03-AA-2268-PHX-ORD,,12/3/11 7:19 AM (-07:00),,,12/3/11 11:08 AM (-06:00),,,2011-12-03 07:19:00,,2011-12-03 11:08:00
boston,2011-12-13-AA-59-JFK-SFO,7:10 AM- Dec 13,7:38 AM- Dec 13,,10:45 AM- Dec 13,10:48 AM- Dec 13,,2000-12-13 07:10:00,2000-12-13 07:38:00,2000-12-13 10:45:00,2000-12-13 10:48:00
boston,2011-12-30-AA-2268-PHX-ORD,7:15 AM- Dec 30,7:34 AM- Dec 30,,11:35 AM- Dec 30,11:43 AM- Dec 30,,2000-12-30 07:15:00,2000-12-30 07:34:00,2000-12-30 11:35:00,2000-12-30 11:43:00
