src,flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate,scheduled_dept_clean,actual_dept_clean,scheduled_arrival_clean,actual_arrival_clean
flights,2011-12-14-UA-3515-IAD-MSP,,2011-12-14 08:17 AM,D20,,2011-12-14 10:15 AM,E8,,2011-12-14 08:17:00,,2011-12-14 10:15:00
flytecomm,2011-12-28-AA-446-DFW-PHL,,12/28/11 12:01 PM (-06:00),,,12/28/11 3:39 PM (-05:00),,,,,
foxbusiness,2011-12-05-UA-1500-IAH-GUA,,9:40 AMDec 05,,,12:27 PMDec 05,,,,,
flightarrival,2011-12-08-AA-1522-SFO-ORD,2011-12-08 11:55 PM,2011-12-08 12:05 AM,,2011-12-08 05:50 AM,2011-12-08 05:34 AM,,2011-12-08 11:55:00,2011-12-08 12:05:00,2011-12-08 05:50:00,2011-12-08 05:34:00
boston,2011-12-16-AA-3979-CVG-ORD,7:30 AM- Dec 16,8:08 AM- Dec 16,,8:00 AM- Dec 16,7:56 AM- Dec 16,,2016-12-01 07:30:00,2016-12-01 08:08:00,2016-12-01 08:00:00,2016-12-01 07:56:00
helloflight,2011-12-13-UA-2945-PHL-CLT,,12/13/11 12:22 PM (-05:00),,,12/13/11 1:32 PM (-05:00),,,,,
flightaware,2011-12-24-UA-3099-PHX-PHL,2011-12-24 11:55AM MST,2011-12-24 11:59AM MST,,2011-12-24 05:48PM EST,2011-12-24 05:38PM EST,,2011-12-24 11:55:00,2011-12-24 11:59:00,2011-12-24 17:48:00,2011-12-24 17:38:00
weather,2011-12-25-UA-2314-ATL-PHL,2011-12-25 02:55 PM,,,2011-12-25 05:00 PM,,,2011-12-25 02:55:00,,2011-12-25 05:00:00,
weather,2011-12-11-AA-4307-ORD-DTW,2011-12-11 06:45 PM,,,2011-12-11 09:10 PM,,,2011-12-11 06:45:00,,2011-12-11 09:10:00,
helloflight,2011-12-02-AA-415-BOS-ORD,,12/2/11 8:45 AM (-05:00),,,12/2/11 10:08 AM (-06:00),,,,,
panynj,2011-12-18-UA-843-LAX-ORD,,2:17 PMDec 18,,,8:02 PMDec 18,,,,,
flightwise,2011-12-16-AA-649-ORD-SNA,2011-12-16 01:30PM CST,2011-12-16 01:40PM CST, H14 ,2011-12-16 03:30PM PST,2011-12-16 03:40PM PST, 7 ,,,2011-12-16 15:30:00,2011-12-16 15:40:00
businesstravellogue,2011-12-10-UA-37-EWR-MCO,,2011-12-10 02:01 PM,82,,2011-12-10 04:55 PM,39,,2011-12-10 02:01:00,,2011-12-10 04:55:00
flightexplorer,2011-12-13-AA-3804-PHL-ORD,,12/13/2011 2:42PM EST,,,12/13/2011 3:39PM CST,,,2011-12-13 14:42:00,,
flytecomm,2011-12-28-AA-4198-ORD-CLE,,12/28/11 10:54 AM (-06:00),,,12/28/11 12:37 PM (-05:00),,,,,
helloflight,2011-12-27-UA-382-IAD-LAX,,12/27/11 12:33 PM (-05:00),,,12/27/11 2:30 PM (-08:00),,,,,
airtravelcenter,2011-12-25-AA-4330-CVG-ORD,12/25/11 3:35 PM (-05:00),,,12/25/11 4:00 PM (-06:00),,,,,,
mia,2011-12-01-AA-2050-ORD-MIA,,,,2:45P 12-01-11,2011-12-01  2:46P,,,,,
orbitz,2011-12-17-AA-4307-ORD-DTW,8:05pDec 17,8:26pDec 17, G3,10:20pDec 17,10:35pDec 17, D19,,,,
gofox,2011-12-07-AA-400-DFW-JFK,10:40 AM- Dec 07,10:53 AM- Dec 07,,2:59 PM- Dec 07,2:50 PM- Dec 07,,2007-12-01 10:40:00,2007-12-01 10:53:00,2007-12-01 02:59:00,2007-12-01 02:50:00
businesstravellogue,2011-12-01-AA-400-DFW-JFK,,2011-12-01 11:01 AM,D18,,2011-12-01 03:04 PM,C33,,2011-12-01 11:01:00,,2011-12-01 03:04:00
airtravelcenter,2011-12-04-UA-2830-MCO-CLT,,12/4/11 3:40 PM (-05:00),,,12/4/11 4:55 PM (-05:00),,,,,
ifly,2011-12-07-AA-643-MIA-ORD,2011-12-07 7:10 AM,2011-12-07 7:23 AM,,2011-12-07 9:35 AM,2011-12-07 9:03 AM,,2011-12-07 07:10:00,2011-12-07 07:23:00,2011-12-07 09:35:00,2011-12-07 09:03:00
flightexplorer,2011-12-11-UA-664-ORD-PHL,,12/11/2011 1:35PM CST,,,12/11/2011 4:11PM EST,,,,,2011-12-11 16:11:00
helloflight,2011-12-28-AA-404-MIA-MCO,,12/28/11 6:57 AM (-05:00),,,12/28/11 7:41 AM (-05:00),,,,,
wunderground,2011-12-30-AA-3468-CVG-MIA,2011-12-30 07:00AM EST,2011-12-30 07:19AM EST, 1 ,2011-12-30 09:43AM EST,2011-12-30 09:13AM EST, D60J ,2011-12-30 07:00:00,2011-12-30 07:19:00,2011-12-30 09:43:00,2011-12-30 09:13:00
flightstats,2011-12-28-UA-2906-PHL-MCO,2011-12-28 3:50 PM,2011-12-28 3:48 PM,,2011-12-28 6:23 PM,2011-12-28 6:16 PM,,2011-12-28 03:50:00,2011-12-28 03:48:00,2011-12-28 06:23:00,2011-12-28 06:16:00
myrateplan,2011-12-08-AA-2268-PHX-ORD,,12/8/11 7:21 AM (-07:00),,,12/8/11 11:11 AM (-06:00),,,,,
helloflight,2011-12-31-UA-414-LAX-SFO,,12/31/11 6:18 AM (-08:00),,,12/31/11 7:06 AM (-08:00),,,,,
allegiantair,2011-12-27-UA-37-EWR-MCO,,3:28 PMDec 27,,,5:56 PMDec 27,,,,,
flytecomm,2011-12-28-AA-2312-DFW-DTW,,12/28/11 8:29 PM (-06:00),,,12/28/11 11:39 PM (-05:00),,,,,
panynj,2011-12-28-AA-3842-MSP-ORD,6:00 AM- Dec 28,6:19 AM- Dec 28,E14,7:30 AM- Dec 28,7:12 AM- Dec 28,H5,2028-12-01 06:00:00,2028-12-01 06:19:00,2028-12-01 07:30:00,2028-12-01 07:12:00
panynj,2011-12-11-UA-3099-PHX-PHL,11:55 AM- Dec 11,12:17 PM- Dec 11,Terminal 4,6:17 PM- Dec 11,6:17 PM- Dec 11,A16,2011-12-01 11:55:00,2011-12-01 12:17:00,2011-12-01 06:17:00,2011-12-01 06:17:00
flytecomm,2011-12-02-AA-271-MIA-LAX,,12/2/11 11:52 AM (-05:00),,,12/2/11 2:04 PM (-08:00),,,,,
flightview,2012-01-03-AA-3-JFK-LAX,12:00 PM- Jan 03,12:12 PM- Jan 03,Terminal 8 - 6,3:15 PM- Jan 03,2:52 PM- Jan 03,Terminal 4 - 49A,2003-01-01 12:00:00,2003-01-01 12:12:00,2003-01-01 03:15:00,2003-01-01 02:52:00
flightstats,2011-12-12-AA-4198-ORD-CLE,2011-12-12 10:40 AM,2011-12-12 10:34 AM,,2011-12-12 12:55 PM,2011-12-12 12:46 PM,,2011-12-12 10:40:00,2011-12-12 10:34:00,2011-12-12 12:55:00,2011-12-12 12:46:00
myrateplan,2011-12-29-AA-4198-ORD-CLE,,12/29/11 10:57 AM (-06:00),,,12/29/11 12:41 PM (-05:00),,,,,
ua,2011-12-20-UA-397-JFK-SFO,Tue- Dec 20 8:25 AM,Tue- Dec 20 8:22 AM,7,Tue- Dec 20 12:14 PM,Tue- Dec 20 11:11 AM,80,2020-12-01 08:25:00,2020-12-01 08:22:00,2020-12-01 12:14:00,2020-12-01 11:11:00
boston,2011-12-02-AA-3859-IAH-ORD,7:10 AM- Dec 02,7:14 AM- Dec 02,,9:40 AM- Dec 02,9:20 AM- Dec 02,,2002-12-01 07:10:00,2002-12-01 07:14:00,2002-12-01 09:40:00,2002-12-01 09:20:00
allegiantair,2011-12-17-AA-1165-JFK-MIA,6:59 AM- Dec 17,7:27 AM- Dec 17,Terminal 8 - 37,10:34 AM- Dec 17,10:10 AM- Dec 17,Terminal D - D1,2017-12-01 06:59:00,2017-12-01 07:27:00,2017-12-01 10:34:00,2017-12-01 10:10:00
flylouisville,2011-12-29-UA-1500-IAH-GUA,,2011-12-29 08:53 AM,22,,2011-12-29 11:43 AM,HOLD,,2011-12-29 08:53:00,,2011-12-29 11:43:00
flightstats,2011-12-31-AA-271-MIA-LAX,2011-12-31 11:35 AM,2011-12-31 11:48 AM,,2011-12-31 2:25 PM,2011-12-31 2:22 PM,,2011-12-31 11:35:00,2011-12-31 11:48:00,2011-12-31 02:25:00,2011-12-31 02:22:00
ifly,2011-12-13-AA-271-MIA-LAX,2011-12-13 11:35 AM,2011-12-13 11:50 AM,,2011-12-13 2:25 PM,2011-12-13 2:16 PM,,2011-12-13 11:35:00,2011-12-13 11:50:00,2011-12-13 02:25:00,2011-12-13 02:16:00
panynj,2012-01-01-AA-4330-CVG-ORD,,3:41 PMJan 01,,,3:36 PMJan 01,,,,,
businesstravellogue,2011-12-02-AA-4277-CVG-JFK,12:10 PM  Fri 02-Dec-2011,12:22 PM  Fri 02-Dec-2011,1,02:15 PM  Fri 02-Dec-2011,01:52 PM  Fri 02-Dec-2011,C31A,2011-12-02 12:10:00,2011-12-02 12:22:00,2011-12-02 02:15:00,2011-12-02 01:52:00
boston,2011-12-14-AA-204-LAX-MCO,11:25 PM- Dec 14,Not Available,,6:55 AM- Dec 15,Not Available,,2014-12-01 11:25:00,,2015-12-01 06:55:00,
ua,2012-01-02-UA-843-LAX-ORD,Mon- Jan 2 2:10 PM,Mon- Jan 2 3:07 PM,73,Mon- Jan 2 8:12 PM,Mon- Jan 2 9:08 PM,C25,,,,
aa,2011-12-22-AA-643-MIA-ORD,December 22- 2011               07:10 AM    ,December 22- 2011               07:02 AM    , D16,December 22- 2011               09:35 AM    ,December 22- 2011               08:58 AM    , H15    ,2011-12-22 07:10:00,2011-12-22 07:02:00,2011-12-22 09:35:00,2011-12-22 08:58:00
helloflight,2011-12-18-UA-2314-ATL-PHL,,12/18/11 3:17 PM (-05:00),,,12/18/11 4:59 PM (-05:00),,,,,
aa,2011-12-10-AA-3468-CVG-MIA,December 10- 2011               07:00 AM    ,December 10- 2011               07:01 AM    , 3,December 10- 2011               09:55 AM    ,December 10- 2011               09:55 AM    , D60D    ,2011-12-10 07:00:00,2011-12-10 07:01:00,2011-12-10 09:55:00,2011-12-10 09:55:00
quicktrip,2011-12-08-AA-3063-SLC-LAX,2011-12-08 8:20 PM,2011-12-08 8:10 PM,,2011-12-08 9:20 PM,2011-12-08 9:03 PM,,2011-12-08 08:20:00,2011-12-08 08:10:00,2011-12-08 09:20:00,2011-12-08 09:03:00
flytecomm,2011-12-29-AA-4198-ORD-CLE,,12/29/11 10:57 AM (-06:00),,,12/29/11 12:41 PM (-05:00),,,,,
weather,2012-01-01-AA-3859-IAH-ORD,2012-01-01 07:10 AM,,,2012-01-01 09:40 AM,,,2012-01-01 07:10:00,,2012-01-01 09:40:00,
quicktrip,2011-12-05-AA-2268-PHX-ORD,2011-12-05 7:15 AM,2011-12-05 7:20 AM,,2011-12-05 11:35 AM,2011-12-05 11:12 AM,,2011-12-05 07:15:00,2011-12-05 07:20:00,2011-12-05 11:35:00,2011-12-05 11:12:00
panynj,2011-12-09-AA-518-MIA-JFK,6:30 AM- Dec 09,6:56 AM- Dec 09,Terminal D - D22,9:15 AM- Dec 09,9:14 AM- Dec 09,Terminal 8 - 8,2009-12-01 06:30:00,2009-12-01 06:56:00,2009-12-01 09:15:00,2009-12-01 09:14:00
allegiantair,2011-12-13-AA-59-JFK-SFO,7:10 AM- Dec 13,7:38 AM- Dec 13,Terminal 8 - 40,10:45 AM- Dec 13,10:52 AM- Dec 13,Terminal 2 - 58B,2013-12-01 07:10:00,2013-12-01 07:38:00,2013-12-01 10:45:00,2013-12-01 10:52:00
helloflight,2011-12-08-AA-3063-SLC-LAX,,12/8/11 8:31 PM (-07:00),,,12/8/11 8:59 PM (-08:00),,,,,
flightview,2011-12-12-AA-3063-SLC-LAX,,8:37 PMDec 12,,,9:17 PMDec 12,,,,,
weather,2012-01-03-UA-858-PVG-SFO,2012-01-03 01:45 PM,,,2012-01-03 08:35 AM,,,2012-01-03 01:45:00,,2012-01-03 08:35:00,
boston,2011-12-26-AA-404-MIA-MCO,6:45 AM- Dec 26,7:02 AM- Dec 26,,7:45 AM- Dec 26,7:38 AM- Dec 26,,2026-12-01 06:45:00,2026-12-01 07:02:00,2026-12-01 07:45:00,2026-12-01 07:38:00
flightview,2011-12-25-AA-446-DFW-PHL,11:50 AM- Dec 25,12:00 PM- Dec 25,D18,3:50 PM- Dec 25,3:26 PM- Dec 25,A9,2025-12-01 11:50:00,2025-12-01 12:00:00,2025-12-01 03:50:00,2025-12-01 03:26:00
airtravelcenter,2011-12-17-AA-1886-BOS-MIA,,12/17/11 10:58 AM (-05:00),,,12/17/11 2:06 PM (-05:00),,,,,
flytecomm,2011-12-28-UA-2704-DTW-PHX,,12/28/11 11:26 AM (-05:00),,,12/28/11 12:58 PM (-07:00),,,,,
businesstravellogue,2011-12-05-AA-222-LAX-BOS,07:10 AM  Mon 05-Dec-2011,07:13 AM  Mon 05-Dec-2011,42B,03:30 PM  Mon 05-Dec-2011,02:55 PM  Mon 05-Dec-2011,B31,,,,
panynj,2011-12-11-UA-382-IAD-LAX,,1:15 PMDec 11,,,3:33 PMDec 11,,,,,
wunderground,2011-12-30-AA-271-MIA-LAX,2011-12-30 11:35AM EST,2011-12-30 12:40PM EST, D20 ,2011-12-30 02:15PM PST,2011-12-30 02:40PM PST, 46B ,2011-12-30 11:35:00,,2011-12-30 14:15:00,2011-12-30 14:40:00
flytecomm,2011-12-27-UA-938-DEN-ORD,,12/27/11 4:06 PM (-07:00),,,12/27/11 6:57 PM (-06:00),,,,,
panynj,2011-12-07-UA-1500-IAH-GUA,10:15 AMDec 07,,,12:48 PMDec 07,,,,,,
flights,2011-12-07-UA-3373-IAD-PHL,,2011-12-07 09:06 AM,C26,,2011-12-07 10:01 AM,D7,,2011-12-07 09:06:00,,2011-12-07 10:01:00
flightarrival,2011-12-29-AA-400-DFW-JFK,2011-12-29 10:40 AM,2011-12-29 12:32 PM,,2011-12-29 2:59 PM,2011-12-29 4:52 PM,,2011-12-29 10:40:00,2011-12-29 12:32:00,2011-12-29 02:59:00,2011-12-29 04:52:00
flights,2012-01-03-UA-3925-IAD-ORF,,2012-01-03 08:42 AM,A2,,2012-01-03 09:40 AM,,,2012-01-03 08:42:00,,2012-01-03 09:40:00
mytripandmore,2011-12-31-AA-4277-CVG-JFK,12:10pDec 31,12:08pDec 31, 1,2:15pDec 31,1:58pDec 31, 32I,,,,
gofox,2011-12-28-AA-204-LAX-MCO,11:25 PM- Dec 28,,,6:55 AM- Dec 29,,,2028-12-01 11:25:00,,2029-12-01 06:55:00,
quicktrip,2011-12-20-UA-2945-PHL-CLT,2011-12-20 12:00 PM,2011-12-20 11:57 AM,,2011-12-20 1:45 PM,2011-12-20 1:42 PM,,2011-12-20 12:00:00,2011-12-20 11:57:00,2011-12-20 01:45:00,2011-12-20 01:42:00
airtravelcenter,2011-12-17-AA-3804-PHL-ORD,,12/17/11 4:08 PM (-05:00),,,12/17/11 4:53 PM (-06:00),,,,,
flightaware,2012-01-03-AA-446-DFW-PHL,2012-01-03 11:50AM CST,2012-01-03 11:57AM CST, A24 ,2012-01-03 03:51PM EST,2012-01-03 03:49PM EST, A9 ,,,2012-01-03 15:51:00,2012-01-03 15:49:00
wunderground,2012-01-02-AA-85-JFK-SFO,2012-01-02 03:05PM EST,2012-01-02 03:25PM EST, 6 ,2012-01-02 06:10PM PST,2012-01-02 06:00PM PST, 58B ,2012-01-02 15:05:00,2012-01-02 15:25:00,2012-01-02 18:10:00,2012-01-02 18:00:00
orbitz,2011-12-14-AA-1917-JFK-MCO,2:55pDec 14,3:02pDec 14, 3,5:55pDec 14,5:37pDec 14, 16,,,,
weather,2011-12-28-AA-484-DFW-MIA,2011-12-28 04:15 PM,,,2011-12-28 07:55 PM,,,2011-12-28 04:15:00,,2011-12-28 07:55:00,
aa,2011-12-08-AA-1279-DFW-PHX,December 8- 2011               01:00 PM    ,December 8- 2011               12:57 PM    , A37,December 8- 2011               02:35 PM    ,December 8- 2011               02:33 PM    , 4    ,2011-12-08 01:00:00,2011-12-08 12:57:00,2011-12-08 02:35:00,2011-12-08 02:33:00
foxbusiness,2011-12-20-UA-2708-EWR-CLT,,3:18 PMDec 20,,,4:44 PMDec 20,,,,,
flytecomm,2011-12-03-AA-2268-PHX-ORD,,12/3/11 7:19 AM (-07:00),,,12/3/11 11:08 AM (-06:00),,,,,
boston,2011-12-13-AA-59-JFK-SFO,7:10 AM- Dec 13,7:38 AM- Dec 13,,10:45 AM- Dec 13,10:48 AM- Dec 13,,2013-12-01 07:10:00,2013-12-01 07:38:00,2013-12-01 10:45:00,2013-12-01 10:48:00
boston,2011-12-30-AA-2268-PHX-ORD,7:15 AM- Dec 30,7:34 AM- Dec 30,,11:35 AM- Dec 30,11:43 AM- Dec 30,,2030-12-01 07:15:00,2030-12-01 07:34:00,2030-12-01 11:35:00,2030-12-01 11:43:00
flightarrival,2011-12-17-AA-404-MIA-MCO,2011-12-17 06:45 AM,2011-12-17 06:55 AM,,2011-12-17 07:45 AM,2011-12-17 07:32 AM,,2011-12-17 06:45:00,2011-12-17 06:55:00,2011-12-17 07:45:00,2011-12-17 07:32:00
businesstravellogue,2011-12-30-AA-431-MIA-SFO,08:35 AM  Fri 30-Dec-2011,,D40,11:50 AM  Fri 30-Dec-2011,,58B,2011-12-30 08:35:00,,2011-12-30 11:50:00,
airtravelcenter,2011-12-11-UA-3050-PHX-CLT,,12/11/11 11:20 AM (-07:00),,,12/11/11 4:49 PM (-05:00),,,,,
boston,2011-12-19-AA-1522-SFO-ORD,11:55 PM- Dec 19,Not Available,,5:50 AM- Dec 20,Not Available,,2019-12-01 11:55:00,,2020-12-01 05:50:00,
usatoday,2011-12-10-UA-62-IAH-EWR,,2:51 PMDec 10,,,6:34 PMDec 10,,,,,
wunderground,2011-12-25-AA-643-MIA-ORD,2011-12-25 07:10AM EST,2011-12-25 08:45AM EST, D16 ,2011-12-25 09:15AM CST,2011-12-25 10:13AM CST, K16 ,2011-12-25 07:10:00,2011-12-25 08:45:00,,
ifly,2011-12-04-AA-85-JFK-SFO,2011-12-04 3:05 PM,2011-12-04 3:29 PM,,2011-12-04 6:30 PM,2011-12-04 6:29 PM,,2011-12-04 03:05:00,2011-12-04 03:29:00,2011-12-04 06:30:00,2011-12-04 06:29:00
gofox,2011-12-16-AA-4344-ORD-DTW,,11:57 AMDec 16,,,1:48 PMDec 16,,,,,
flylouisville,2011-12-01-AA-3809-PHX-LAX,06:00 AM  Thu 01-Dec-2011,06:10 AM  Thu 01-Dec-2011,2,06:40 AM  Thu 01-Dec-2011,06:19 AM  Thu 01-Dec-2011,44F,2011-12-01 06:00:00,2011-12-01 06:10:00,2011-12-01 06:40:00,2011-12-01 06:19:00
flightview,2011-12-30-UA-397-JFK-SFO,8:25 AM- Dec 30,8:43 AM- Dec 30,9,12:14 PM- Dec 30,12:14 PM- Dec 30,Terminal 3 - 82,2030-12-01 08:25:00,2030-12-01 08:43:00,2030-12-01 12:14:00,2030-12-01 12:14:00
mco,2011-12-09-AA-1640-MIA-MCO,,,,2011-12-09 Fri  19:25,2011-12-09 Fri  19:20,14?,,,2011-12-09 19:25:00,2011-12-09 19:20:00
weather,2012-01-03-AA-2268-PHX-ORD,2012-01-03 07:15 AM,2012-01-03 07:19 AM,,2012-01-03 11:35 AM,2012-01-03 11:21 AM,,2012-01-03 07:15:00,2012-01-03 07:19:00,2012-01-03 11:35:00,2012-01-03 11:21:00
airtravelcenter,2011-12-12-UA-3373-IAD-PHL,,12/12/11 9:33 AM (-05:00),,,12/12/11 10:09 AM (-05:00),,,,,
gofox,2011-12-16-AA-1434-DFW-MCO,7:15 AM- Dec 16,7:26 AM- Dec 16,,10:35 AM- Dec 16,10:29 AM- Dec 16,,2016-12-01 07:15:00,2016-12-01 07:26:00,2016-12-01 10:35:00,2016-12-01 10:29:00
allegiantair,2011-12-05-AA-222-LAX-BOS,7:10 AM- Dec 05,7:14 AM- Dec 05,Terminal T4 - 42B,3:30 PM- Dec 05,2:55 PM- Dec 05,Terminal B - B31,2005-12-01 07:10:00,2005-12-01 07:14:00,2005-12-01 03:30:00,2005-12-01 02:55:00
airtravelcenter,2012-01-01-AA-4307-ORD-DTW,,1/1/12 7:15 PM (-06:00),,,1/1/12 8:58 PM (-05:00),,,,,
flightaware,2011-12-09-UA-233-LAX-JFK,2011-12-09 04:25PM PST,2011-12-09 04:35PM PST, 77 ,2011-12-09 12:09AM EST,2011-12-09 12:19AM EST, 4 ,2011-12-09 16:25:00,2011-12-09 16:35:00,2011-12-09 12:09:00,2011-12-09 12:19:00
flylouisville,2011-12-12-AA-518-MIA-JFK,06:30 AM  Mon 12-Dec-2011,06:45 AM  Mon 12-Dec-2011,D25,09:15 AM  Mon 12-Dec-2011,09:30 AM  Mon 12-Dec-2011,B5,,,,
flightstats,2011-12-18-AA-1279-DFW-PHX,2011-12-18 1:00 PM,2011-12-18 1:46 PM,,2011-12-18 2:35 PM,2011-12-18 3:18 PM,,2011-12-18 01:00:00,2011-12-18 01:46:00,2011-12-18 02:35:00,2011-12-18 03:18:00
mytripandmore,2011-12-01-AA-1917-JFK-MCO,Dec 01 - 2:55pm,Dec 01 - 3:00pm,40/8,Dec 01 - 5:55pm,Dec 01 - 5:43pm,12,2001-12-01 14:55:00,2001-12-01 15:00:00,2001-12-01 17:55:00,2001-12-01 17:43:00
gofox,2011-12-31-UA-5487-SFO-MRY,,12:10 PMDec 31,,,12:38 PMDec 31,,,,,
flightarrival,2012-01-01-AA-3823-LAX-DEN,9:00 PM- Jan 01,Not Available,,12:15 AM- Jan 02,Not Available,,2001-01-01 09:00:00,,2002-01-01 12:15:00,
flightview,2011-12-04-UA-5487-SFO-MRY,,10:57 AMDec 04,,,11:24 AMDec 04,,,,,
helloflight,2011-12-28-AA-204-LAX-MCO,,12/28/11 11:29 PM (-08:00),,,12/29/11 6:26 AM (-05:00),,,,,
flytecomm,2011-12-12-AA-415-BOS-ORD,,12/12/11 8:48 AM (-05:00),,,12/12/11 9:59 AM (-06:00),,,,,
flightstats,2011-12-11-UA-2708-EWR-CLT,2011-12-11 2:55 PM,2011-12-11 2:59 PM,,2011-12-11 4:53 PM,2011-12-11 4:42 PM,,2011-12-11 02:55:00,2011-12-11 02:59:00,2011-12-11 04:53:00,2011-12-11 04:42:00
flylouisville,2011-12-28-AA-643-MIA-ORD,07:10 AM  Wed 28-Dec-2011,07:16 AM  Wed 28-Dec-2011,D16,09:35 AM  Wed 28-Dec-2011,09:17 AM  Wed 28-Dec-2011,L8,2011-12-28 07:10:00,2011-12-28 07:16:00,2011-12-28 09:35:00,2011-12-28 09:17:00
airtravelcenter,2012-01-01-AA-400-DFW-JFK,,1/1/12 10:51 AM (-06:00),,,1/1/12 2:41 PM (-05:00),,,,,
weather,2011-12-05-UA-3050-PHX-CLT,2011-12-05 11:05 AM,,,2011-12-05 04:57 PM,,,2011-12-05 11:05:00,,2011-12-05 04:57:00,
flightarrival,2011-12-25-UA-2906-PHL-MCO,3:50 PM- Dec 25,4:07 PM- Dec 25,,6:23 PM- Dec 25,6:15 PM- Dec 25,,2025-12-01 03:50:00,2025-12-01 04:07:00,2025-12-01 06:23:00,2025-12-01 06:15:00
airtravelcenter,2011-12-01-UA-1500-IAH-GUA,12/1/11 8:55 AM (-06:00),,,12/1/11 11:45 AM (-06:00),,,,,,
flightview,2011-12-27-AA-446-DFW-PHL,11:50 AM- Dec 27,12:14 PM- Dec 27,D34,3:50 PM- Dec 27,3:57 PM- Dec 27,A9,2027-12-01 11:50:00,2027-12-01 12:14:00,2027-12-01 03:50:00,2027-12-01 03:57:00
boston,2011-12-08-UA-1500-IAH-GUA,,9:12 AMDec 08,,,11:42 AMDec 08,,,,,
usatoday,2011-12-19-UA-37-EWR-MCO,2011-12-19 1:29 PM,2011-12-19 1:33 PM,,2011-12-19 4:22 PM,2011-12-19 4:07 PM,,2011-12-19 01:29:00,2011-12-19 01:33:00,2011-12-19 04:22:00,2011-12-19 04:07:00
helloflight,2011-12-18-AA-466-IAH-MIA,,12/18/11 6:17 AM (-06:00),,,12/18/11 9:04 AM (-05:00),,,,,
flylouisville,2011-12-25-UA-1500-IAH-GUA,,2011-12-25 08:55 AM,15,,2011-12-25 11:59 AM,15,,2011-12-25 08:55:00,,2011-12-25 11:59:00
weather,2011-12-13-AA-431-MIA-SFO,2011-12-13 08:35 AM,2011-12-13 08:52 AM,,2011-12-13 11:50 AM,2011-12-13 11:21 AM,,2011-12-13 08:35:00,2011-12-13 08:52:00,2011-12-13 11:50:00,2011-12-13 11:21:00
myrateplan,2011-12-20-AA-484-DFW-MIA,,12/20/11 5:07 PM (-06:00),,,12/20/11 8:27 PM (-05:00),,,,,
mia,2011-12-05-AA-1165-JFK-MIA,,,,10:34A 12-05-11,2011-12-05  10:17A,,,,,
quicktrip,2011-12-22-UA-37-EWR-MCO,2011-12-22 1:30 PM,2011-12-22 1:51 PM,,2011-12-22 4:23 PM,2011-12-22 4:46 PM,,2011-12-22 01:30:00,2011-12-22 01:51:00,2011-12-22 04:23:00,2011-12-22 04:46:00
myrateplan,2012-01-03-UA-3925-IAD-ORF,,1/3/12 9:00 AM (-05:00),,,1/3/12 9:31 AM (-05:00),,,,,
flightarrival,2011-12-12-UA-843-LAX-ORD,,2:38 PMDec 12,,,7:45 PMDec 12,,,,,
flightaware,2011-12-04-AA-643-MIA-ORD,2011-12-04 07:10AM EST,2011-12-04 07:49AM EST, D2 ,2011-12-04 08:56AM CST,2011-12-04 09:29AM CST, L8 ,2011-12-04 07:10:00,2011-12-04 07:49:00,,
flights,2011-12-01-UA-2515-DFW-CLT,,2011-12-01 07:07 AM,E36,,2011-12-01 10:47 AM,B10,,2011-12-01 07:07:00,,2011-12-01 10:47:00
businesstravellogue,2011-12-17-UA-382-IAD-LAX,,2011-12-17 12:29 PM,C27,,2011-12-17 03:10 PM,70A,,2011-12-17 12:29:00,,2011-12-17 03:10:00
quicktrip,2011-12-13-UA-664-ORD-PHL,2011-12-13 1:27 PM,2011-12-13 1:24 PM,,2011-12-13 4:25 PM,2011-12-13 4:23 PM,,2011-12-13 01:27:00,2011-12-13 01:24:00,2011-12-13 04:25:00,2011-12-13 04:23:00
flylouisville,2011-12-24-UA-3050-PHX-CLT,11:05 AM  Sat 24-Dec-2011,11:02 AM  Sat 24-Dec-2011,A11,04:57 PM  Sat 24-Dec-2011,04:47 PM  Sat 24-Dec-2011,B3,,,,
quicktrip,2011-12-15-AA-1522-SFO-ORD,2011-12-15 11:55 PM,2011-12-15 12:09 AM (Estimated runway),,2011-12-15 5:50 AM,2011-12-15 5:44 AM (Estimated runway),,2011-12-15 11:55:00,,2011-12-15 05:50:00,
allegiantair,2012-01-03-AA-3804-PHL-ORD,2:35 PM- Jan 03,2:41 PM- Jan 03,A7,4:05 PM- Jan 03,3:30 PM- Jan 03,H5,2003-01-01 02:35:00,2003-01-01 02:41:00,2003-01-01 04:05:00,2003-01-01 03:30:00
flylouisville,2011-12-16-AA-1544-SAN-ORD,,2011-12-16 11:16 AM,27,,2011-12-16 05:16 PM,H6,,2011-12-16 11:16:00,,2011-12-16 05:16:00
aa,2011-12-12-AA-222-LAX-BOS,December 12- 2011               07:10 AM    ,December 12- 2011               07:04 AM    , 47B,December 12- 2011               03:30 PM    ,December 12- 2011               03:07 PM    , B33    ,2011-12-12 07:10:00,2011-12-12 07:04:00,2011-12-12 03:30:00,2011-12-12 03:07:00
flightexplorer,2011-12-05-AA-616-DFW-DTW,,12/5/2011 9:18AM CST,,,12/5/2011 12:07PM EST,,,,,
